실행모드,스레드수,파일수,디렉토리깊이,부합비율,심볼릭포함,실행시간(초),UserTime,SysTime,CPU(%),MaxMemory(KB)
single,1,100,1,0,include,0:00.01,,,,1652
multi,1,100,1,0,include,0:00.01,,,,2804
single,1,100,1,0,exclude,0:00.01,,,,1652
multi,1,100,1,0,exclude,0:00.00,,,,2804
single,1,100,1,50,include,0:00.04,,,,1652
multi,1,100,1,50,include,0:00.18,,,,223988
single,1,100,1,50,exclude,0:00.03,,,,1652
multi,1,100,1,50,exclude,0:00.12,,,,224112
single,1,100,1,100,include,0:00.06,,,,1652
multi,1,100,1,100,include,0:00.43,,,,445552
single,1,100,1,100,exclude,0:00.06,,,,1652
multi,1,100,1,100,exclude,0:00.21,,,,445552
single,1,100,3,0,include,0:00.01,,,,1780
multi,1,100,3,0,include,0:00.01,,,,2804
single,1,100,3,0,exclude,0:00.01,,,,1780
multi,1,100,3,0,exclude,8:39.12,,,,2800
single,1,100,3,50,include,0:00.04,,,,1652
multi,1,100,3,50,include,0:00.13,,,,224240
single,1,100,3,50,exclude,0:00.05,,,,1464
multi,1,100,3,50,exclude,0:00.09,,,,224112
single,1,100,3,100,include,0:00.07,,,,1652
multi,1,100,3,100,include,0:00.31,,,,445428
single,1,100,3,100,exclude,0:00.07,,,,1652
multi,1,100,3,100,exclude,0:00.22,,,,445300
single,1,500,1,0,include,0:00.07,,,,1652
multi,1,500,1,0,include,0:00.02,,,,2616
single,1,500,1,0,exclude,0:00.08,,,,1652
multi,1,500,1,0,exclude,0:00.04,,,,2804
single,1,500,1,50,include,0:00.20,,,,1780
multi,1,500,1,50,include,0:01.88,,,,1109232
single,1,500,1,50,exclude,0:00.22,,,,1780
multi,1,500,1,50,exclude,0:00.59,,,,1109360
single,1,500,1,100,include,0:00.32,,,,1780
multi,1,500,1,100,include,0:03.21,,,,2215796
single,1,500,1,100,exclude,0:00.32,,,,1780
multi,1,500,1,100,exclude,0:00.94,,,,2215924
single,1,500,3,0,include,0:00.07,,,,1776
multi,1,500,3,0,include,0:00.03,,,,2928
single,1,500,3,0,exclude,0:00.07,,,,1780
multi,1,500,3,0,exclude,0:00.04,,,,2928
single,1,500,3,50,include,0:00.20,,,,1776
multi,1,500,3,50,include,0:00.51,,,,1109364
single,1,500,3,50,exclude,0:00.21,,,,1780
multi,1,500,3,50,exclude,0:00.50,,,,1109356
single,1,500,3,100,include,0:00.33,,,,1464
multi,1,500,3,100,include,0:00.88,,,,2215924
single,1,500,3,100,exclude,0:00.31,,,,1780
multi,1,500,3,100,exclude,0:00.89,,,,2215924
single,2,100,1,0,include,0:00.01,,,,1652
multi,2,100,1,0,include,0:00.01,,,,2928
single,2,100,1,0,exclude,0:00.01,,,,1652
multi,2,100,1,0,exclude,0:00.01,,,,2928
single,2,100,1,50,include,0:00.04,,,,1652
multi,2,100,1,50,include,0:00.10,,,,223988
single,2,100,1,50,exclude,0:00.04,,,,1652
multi,2,100,1,50,exclude,0:00.09,,,,223988
single,2,100,1,100,include,0:00.07,,,,1652
multi,2,100,1,100,include,0:00.20,,,,445300
single,2,100,1,100,exclude,0:00.07,,,,1652
multi,2,100,1,100,exclude,0:00.21,,,,445424
single,2,100,3,0,include,0:00.01,,,,1780
multi,2,100,3,0,include,0:00.01,,,,2928
single,2,100,3,0,exclude,0:00.01,,,,1780
multi,2,100,3,0,exclude,0:00.01,,,,2928
single,2,100,3,50,include,0:00.05,,,,1652
multi,2,100,3,50,include,0:00.10,,,,224112
single,2,100,3,50,exclude,0:00.04,,,,1652
multi,2,100,3,50,exclude,0:00.11,,,,223988
single,2,100,3,100,include,0:00.07,,,,1780
multi,2,100,3,100,include,0:00.20,,,,445428
single,2,100,3,100,exclude,0:00.09,,,,1648
multi,2,100,3,100,exclude,0:00.21,,,,445428
single,2,500,1,0,include,0:00.07,,,,1612
multi,2,500,1,0,include,0:00.05,,,,2804
single,2,500,1,0,exclude,0:00.07,,,,1592
multi,2,500,1,0,exclude,0:00.07,,,,2800
single,2,500,1,50,include,0:00.19,,,,1780
multi,2,500,1,50,include,0:00.54,,,,1109360
single,2,500,1,50,exclude,0:00.21,,,,1780
multi,2,500,1,50,exclude,0:00.51,,,,1109236
single,2,500,1,100,include,0:00.31,,,,1780
multi,2,500,1,100,include,0:01.06,,,,2215920
single,2,500,1,100,exclude,0:00.31,,,,1780
multi,2,500,1,100,exclude,0:01.66,,,,2215796
single,2,500,3,0,include,0:00.07,,,,1780
multi,2,500,3,0,include,0:00.05,,,,2804
single,2,500,3,0,exclude,0:00.07,,,,1780
multi,2,500,3,0,exclude,0:00.04,,,,2800
single,2,500,3,50,include,0:00.21,,,,1464
multi,2,500,3,50,include,0:00.55,,,,1109476
single,2,500,3,50,exclude,0:00.21,,,,1780
multi,2,500,3,50,exclude,0:00.52,,,,1109488
single,2,500,3,100,include,0:00.32,,,,1452
multi,2,500,3,100,include,0:01.10,,,,2215920
single,2,500,3,100,exclude,0:00.35,,,,1780
multi,2,500,3,100,exclude,0:00.96,,,,2215924
single,4,100,1,0,include,0:00.01,,,,1652
multi,4,100,1,0,include,0:00.01,,,,2928
single,4,100,1,0,exclude,0:00.02,,,,1464
multi,4,100,1,0,exclude,0:00.01,,,,2928
single,4,100,1,50,include,0:00.04,,,,1464
multi,4,100,1,50,include,0:00.09,,,,223988
single,4,100,1,50,exclude,0:00.04,,,,1652
multi,4,100,1,50,exclude,0:00.10,,,,223984
single,4,100,1,100,include,0:00.08,,,,1464
multi,4,100,1,100,include,0:00.19,,,,445420
single,4,100,1,100,exclude,0:00.07,,,,1652
multi,4,100,1,100,exclude,0:00.19,,,,445300
single,4,100,3,0,include,0:00.01,,,,1780
multi,4,100,3,0,include,0:00.01,,,,2804
single,4,100,3,0,exclude,0:00.01,,,,1780
multi,4,100,3,0,exclude,0:00.01,,,,2800
single,4,100,3,50,include,0:00.05,,,,1464
multi,4,100,3,50,include,0:00.08,,,,224112
single,4,100,3,50,exclude,0:00.04,,,,1464
multi,4,100,3,50,exclude,0:00.10,,,,224116
single,4,100,3,100,include,0:00.08,,,,1464
multi,4,100,3,100,include,0:00.19,,,,445300
single,4,100,3,100,exclude,0:00.07,,,,1464
multi,4,100,3,100,exclude,0:00.18,,,,445552
single,4,500,1,0,include,0:00.07,,,,1592
multi,4,500,1,0,include,0:00.03,,,,2928
single,4,500,1,0,exclude,0:00.07,,,,1652
multi,4,500,1,0,exclude,0:00.03,,,,2928
single,4,500,1,50,include,0:00.22,,,,1780
multi,4,500,1,50,include,0:00.69,,,,1109488
single,4,500,1,50,exclude,0:00.20,,,,1780
multi,4,500,1,50,exclude,0:00.53,,,,1109488
single,4,500,1,100,include,0:00.31,,,,1592
multi,4,500,1,100,include,0:00.92,,,,2215792
single,4,500,1,100,exclude,0:00.32,,,,1780
multi,4,500,1,100,exclude,0:00.94,,,,2216048
single,4,500,3,0,include,0:00.07,,,,1780
multi,4,500,3,0,include,0:00.04,,,,2804
single,4,500,3,0,exclude,0:00.06,,,,1780
multi,4,500,3,0,exclude,0:00.04,,,,2804
single,4,500,3,50,include,0:00.19,,,,1780
multi,4,500,3,50,include,0:00.45,,,,1109488
single,4,500,3,50,exclude,0:00.21,,,,1780
multi,4,500,3,50,exclude,0:00.55,,,,1109232
single,4,500,3,100,include,0:00.37,,,,1780
multi,4,500,3,100,include,0:01.06,,,,2216048
single,4,500,3,100,exclude,0:00.32,,,,1780
multi,4,500,3,100,exclude,0:00.91,,,,2215924
single,8,100,1,0,include,0:00.01,,,,1652
multi,8,100,1,0,include,0:00.01,,,,2928
single,8,100,1,0,exclude,0:00.01,,,,1652
multi,8,100,1,0,exclude,0:00.01,,,,2804
single,8,100,1,50,include,0:00.05,,,,1464
multi,8,100,1,50,include,0:00.09,,,,224112
single,8,100,1,50,exclude,0:00.04,,,,1652
multi,8,100,1,50,exclude,0:00.08,,,,224112
single,8,100,1,100,include,0:00.06,,,,1652
multi,8,100,1,100,include,0:00.18,,,,445424
single,8,100,1,100,exclude,0:00.06,,,,1652
multi,8,100,1,100,exclude,0:00.18,,,,445296
single,8,100,3,0,include,0:00.01,,,,1780
multi,8,100,3,0,include,0:00.01,,,,2928
single,8,100,3,0,exclude,0:00.01,,,,1780
multi,8,100,3,0,exclude,0:00.01,,,,2928
single,8,100,3,50,include,0:00.03,,,,1776
multi,8,100,3,50,include,0:00.10,,,,224116
single,8,100,3,50,exclude,0:00.04,,,,1780
multi,8,100,3,50,exclude,0:00.09,,,,224116
single,8,100,3,100,include,0:00.07,,,,1652
multi,8,100,3,100,include,0:00.23,,,,445428
single,8,100,3,100,exclude,0:00.07,,,,1652
multi,8,100,3,100,exclude,0:00.19,,,,445300
single,8,500,1,0,include,0:00.08,,,,1652
multi,8,500,1,0,include,0:00.03,,,,2804
single,8,500,1,0,exclude,0:00.06,,,,1780
multi,8,500,1,0,exclude,0:00.03,,,,2804
single,8,500,1,50,include,0:00.18,,,,1780
multi,8,500,1,50,include,0:00.45,,,,1109364
single,8,500,1,50,exclude,0:00.18,,,,1780
multi,8,500,1,50,exclude,0:00.50,,,,1109360
single,8,500,1,100,include,0:00.33,,,,1780
multi,8,500,1,100,include,0:01.04,,,,2215924
single,8,500,1,100,exclude,0:00.33,,,,1780
multi,8,500,1,100,exclude,0:01.47,,,,2215920
single,8,500,3,0,include,0:00.07,,,,1780
multi,8,500,3,0,include,0:00.03,,,,2924
single,8,500,3,0,exclude,0:00.07,,,,1464
multi,8,500,3,0,exclude,0:00.04,,,,2928
single,8,500,3,50,include,0:00.19,,,,1780
multi,8,500,3,50,include,0:00.51,,,,1109236
single,8,500,3,50,exclude,0:00.20,,,,1464
multi,8,500,3,50,exclude,0:00.51,,,,1109360
single,8,500,3,100,include,0:00.31,,,,1780
multi,8,500,3,100,include,0:00.94,,,,2215924
single,8,500,3,100,exclude,0:00.32,,,,1780
multi,8,500,3,100,exclude,0:00.93,,,,2215920
